Qty,Reference,Stuff,Manufacturer,Manufacturer Part Number,Vendor,Vendor Part Number
3,J3 J6 J8,Yes,Phoenix Contact,1935226,Digi-Key,277-1583-ND
1,J7,Yes,Phoenix Contact,1935307,Digi-Key,277-1591-ND
1,J2,Yes,Molex,0436500313,Digi-Key,WM1896TR-ND
1,J5,Yes,Molex,1720430202,Digi-Key,1720430202-ND
4,F2-5,No,Bel Fuse Inc.,0ZCJ0020FF2E,Digi-Key,507-1797-1-ND
1,J1,Yes,,,,
1,J4,Yes,,,,
16,D6 D8-22,No,Diodes Incorporated,1N4148WS-7-F,Digi-Key,1N4148WS-FDICT-ND
4,Q1 Q3-4 Q7,Yes,Fairchild,2N7002,Digi-Key,2N7002NTR-ND
8,Q17-24,No,Alpha and Omega,AOD609,Digi-Key,785-1607-1-ND
1,U3,Yes,Alpha & Omega,AOZ1232QI-01,Digi-Key,785-1644-1-ND
3,D1-2 D7,Yes,Diodes Inc.,B360A-13-F,Digi-Key,B360A-FDICT-ND
8,U6-13,No,Infineon,BTN8962TAAUMA1,Digi-Key,BTN8962TAAUMA1INCT-ND
6,C1 C5 C9 C11-12 C14,Yes,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
24,C20-28 C37-38 C40 C42-43 C52-61,No,Murata,GRM155R61H104KE14D,Digi-Key,490-10697-1-ND
8,C44-51,No,Murata,GRM155R61H102KA01D,Digi-Key,490-6316-1-ND
4,C2-4 C6,No,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
2,C8 C13,Yes,Murata,GRM155R70J105KA12D,Digi-Key,490-10024-1-ND
1,C10,Yes,TDK,C2012X5R1A106K125AB,Digi-Key,445-7660-1-ND
2,C16 C18,Yes,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
2,C39 C41,No,Murata,GRM31CR61H106KA12L,Digi-Key,490-5961-1-ND
3,C7 C17 C19,Yes,Murata,GRM31CR61A476ME15L,Digi-Key,490-5528-1-ND
8,C29-36,No,Murata,GRM32ER71H106KA12L,Digi-Key,490-6544-1-ND
8,T1-8,No,Laird,CM2021Y330R-10,Digi-Key,240-2502-1-ND
8,R109-116,No,Stackpole Electronics Inc.,CSRF1206FT5L00,Digi-Key,CSRF1206FT5L00TR-ND
8,Q9-16,No,Diodes, Inc.,DMN2400UV-7,Digi-Key,DMN2400UV-7DICT-ND
3,SW1-3,Yes,Tyco,FSMSM,Digi-Key,450-1140-ND
1,F1,Yes,,,,
1,U4,Yes,,,Digi-Key,
1,U14,No,,,Digi-Key,
8,U16-23,No,TI,INA213BIDCKR,Digi-Key,296-40129-1-ND
4,Q25-28,No,International Rectifier,IRF7509TR,Digi-Key,IRF7509CT-ND
3,D3-5,Yes,Kingbrite,APT1608SGC,DIGIKEY,754-1121-1-ND
1,U24,No,TI,TLV2762IDR,Digi-Key,296-10665-1-ND
2,U5 U15,No,TI,LM324PWR,Digi-Key,296-9545-1-ND
1,U2,Yes,Microchip,MIC2876-AYMT-T5,Digi-Key,576-4864-1-ND
1,L1,Yes,Taiyo Yuden,NRS2012T1R0NGJ,Digi-Key,587-3448-1-ND
4,R7 R12 R17 R23,Yes,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
12,R36 R94 R101 R106 R117-120 R137-140,No,Panasonic - ECG,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND
1,R32,Yes,Panasonic - ECG,ERJ-2RKF1000X,Digi-Key,P100LCT-ND
54,R2-4 R13 R35 R38-70 R73-80 R82 R96 R99 R102 R105 R108 R141-142,No,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
14,R19-22 R25 R30 R6 R8-11 R5 R14 R16,Yes,Panasonic - ECG,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND
8,R84-91,No,NA,NS,NA,NS
3,R26-28,Yes,Panasonic - ECG,ERJ-2GEJ121X,Digi-Key,P120JCT-ND
16,R121-136,No,Panasonic - ECG,ERJ-2RKF1912X,Digi-Key,P0.0JCT-ND
4,R33 R71 R97 R103,No,Panasonic - ECG,ERJ-2BQF1R0X,Digi-Key,P17252CT-ND
1,R1,Yes,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
5,R37 R92 R95 R100 R107,No,Panasonic - ECG,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND
1,R18,Yes,Panasonic - ECG,ERJ-2RKF2003X,Digi-Key,P200KLCT-ND
4,R34 R72 R98 R104,No,Panasonic - ECG,ERJ-2RKF4221X,Digi-Key,P4.22KLCT-ND
1,R24,Yes,Panasonic - ECG,ERJ-2RKF4022X,Digi-Key,P40.2KLCT-ND
1,R31,Yes,Panasonic - ECG,ERJ-2RKF4023X,Digi-Key,P402KLCT-ND
1,R29,Yes,Panasonic - ECG,ERJ-2RKF5362X,Digi-Key,P53.6KLCT-ND
1,R93,No,Panasonic - ECG,ERJ-2RKF6981X,Digi-Key,P6.98KLCT-ND
1,R81,Yes,Panasonic - ECG,ERJ2RKF8201X,Digi-Key,P8.20KLCT-ND
1,R15,Yes,Panasonic - ECG,ERJ-2RKF9103X,,P910KLCT-ND
1,R83,Yes,Panasonic - ECG,ERJ2RKF9102X,Digi-Key,P91.0KLCT-ND
1,C15,Yes,AVX,SCMR22C155MSBA0,Digi-Key,478-10014-ND
1,L2,Yes,Bourns,SRR1210-100M,Digi-Key,SRR1210-100MCT-ND
1,U1,Yes,PJRC,Teensy 3.6,PJRC,Teensy 3.6
22,TP1-22,Yes,,,,
4,Q2 Q5-6 Q8,Yes,,,Digi-Key,
